GAE/ACALTF,GAE/ACPHIR,GAE/ACPSIR,GAE/IAIRSPK,GAE/THETAR,GAE/UBODYF,GAE/VBODYF,GAE/WBODYF,GAE/Z1DOTF,zzSCENARIO/SYSTEM_TIME,
1.00297,0,0,142.316,0.00120111,239.96,0,0.280302,-0.00791704,22.3,
1.0061,0,0,143.225,0.00384355,241.492,0,0.881246,-0.0469457,22.41,
1.01404,0,0,144.134,0.00843686,243.017,0,1.95581,-0.094535,22.52,
1.02777,0,0,145.041,0.0153492,244.529,0,3.60206,-0.15153,22.63,
1.04842,0,0,145.949,0.0250024,246.015,0,5.93245,-0.21973,22.74,
1.07734,0,0,146.861,0.0379022,247.458,0,9.08236,-0.301103,22.85,
1.11222,0,0,147.782,0.0546628,248.827,0,13.2147,-0.399786,22.96,
1.16191,0,0,148.722,0.0759544,250.077,0,18.5253,-0.504344,23.07,
1.22486,0,0,149.694,0.0998205,251.198,0,24.6091,-0.546517,23.18,
1.28368,0,0,150.607,0.123649,252.156,0,31.3514,-0.651323,23.29,
1.36588,0,0,151.762,0.159795,252.768,0,39.8401,-0.887006,23.4,
1.47972,0,0,152.918,0.2048,252.705,0,51.1997,-1.26308,23.51,
1.6551,0,0,154.019,0.249121,252.169,0,62.0728,-2.01628,23.61,
1.97948,0,0,155.283,0.295144,251.626,0,72.3754,-3.94654,23.72,
2.58499,0,0,156.598,0.344836,250.749,0,82.7383,-6.89595,23.83,
3.39978,0,0,157.931,0.353374,252.716,0,83.9576,-8.68648,23.94,
4.5818,0,0,159.24,0.353374,255.966,0,81.1077,-12.4848,24.05,
6.18201,0,0,160.521,0.353374,259.116,0,78.2576,-16.2489,24.16,
8.18827,0,0,161.776,0.353374,262.14,0,75.5107,-19.8728,24.27,
10.5829,0,0,163.005,0.353374,265.034,0,72.9158,-23.3087,24.38,
13.3382,0,0,164.21,0.353374,267.782,0,70.57,-26.4604,24.49,
16.1314,0,0,165.286,0.353374,270.407,0,68.4307,-29.376,24.6,
19.5,-0.00107288,6.28311,165.798,0.365327,271.048,-0.126692,68.4135,-32.054,24.71,
23.1303,-0.00727188,6.28261,165.264,0.403707,268.075,-0.619513,76.3723,-34.1463,24.82,
27.3808,-0.017607,6.28184,164.815,0.441783,265.136,-1.43134,83.5737,-36.7922,24.93,
31.2135,-0.0276914,6.28088,164.436,0.478513,262.211,-2.40234,90.4257,-39.5671,25.03,
35.7277,-0.0390484,6.28052,164.01,0.494461,260.845,-3.78331,92.1712,-42.5575,25.15,
40.5682,-0.0500799,6.28096,163.688,0.494767,261.323,-5.00245,89.134,-45.4961,25.25,
45.7794,-0.0610212,6.28115,163.361,0.502115,261.452,-6.3552,87.0001,-48.9802,25.37,
51.3678,-0.0720104,6.28065,163.06,0.519017,260.594,-7.72084,87.9217,-52.2746,25.47,
57.3113,-0.0825353,6.28035,162.789,0.531602,260.134,-9.08393,87.7945,-55.5101,25.58,
63.6147,-0.0925574,6.27993,162.547,0.543555,259.823,-10.3912,87.3727,-58.8027,25.69,
70.2821,-0.0987728,6.27946,162.332,0.55558,259.559,-11.3327,86.9802,-62.1236,25.8,
77.3155,-0.101259,6.27895,162.145,0.565986,259.472,-11.8967,86.261,-65.462,25.91,
84.722,-0.101815,6.27799,161.988,0.57652,259.49,-12.163,85.4139,-68.8999,26.02,
92.5083,-0.100929,6.27639,161.858,0.587826,259.471,-12.1435,84.871,-72.3542,26.13,
100.678,-0.0993184,6.27421,161.757,0.598785,259.567,-11.8892,84.1659,-75.8728,26.24,
108.441,-0.0975724,6.27136,161.685,0.60973,259.689,-11.4422,83.5624,-79.3761,26.35,
117.346,-0.0960157,6.26844,161.644,0.618421,260.032,-10.8366,82.4463,-82.8557,26.46,
127.496,-0.0944584,6.26445,161.63,0.625628,260.539,-10.1033,80.9794,-86.2923,26.57,
136.293,-0.093491,6.26029,161.631,0.63203,261.101,-9.26903,79.389,-89.6365,26.68,
146.315,-0.0930212,6.25618,161.633,0.636915,261.635,-8.44311,77.8416,-92.5687,26.79,
156.683,-0.0926714,6.2519,161.631,0.636539,262.575,-7.48405,74.8536,-95.6431,26.89,
167.38,-0.092778,6.24757,161.614,0.633513,263.701,-6.4093,70.9364,-98.7753,27.01,
178.376,-0.0933938,6.24306,161.578,0.63044,264.541,-5.50729,67.752,-101.123,27.11,
189.641,-0.0944649,6.23843,161.527,0.626762,265.349,-4.52285,64.4141,-103.437,27.22,
201.144,-0.0959178,6.23377,161.461,0.622804,266.045,-3.55972,61.2472,-105.485,27.33,
212.858,-0.097675,6.22914,161.382,0.618591,266.688,-2.54779,57.9842,-107.433,27.45,
224.754,-0.0996772,6.22463,161.292,0.614036,267.147,-1.74626,55.391,-108.841,27.55,
236.809,-0.101778,6.22029,161.192,0.609109,267.583,-0.908571,52.6452,-110.178,27.66,
248.998,-0.102678,6.21625,161.091,0.603902,267.959,-0.0481971,50.0362,-111.31,27.77,
261.301,-0.101392,6.21251,160.998,0.598401,268.299,0.860773,47.5488,-112.254,27.88,
273.696,-0.0986685,6.20898,160.913,0.592631,268.61,1.78523,45.1778,-113.019,27.99,
286.165,-0.0951954,6.20559,160.836,0.586623,268.889,2.70048,42.9217,-113.613,28.1,
297.55,-0.0913981,6.20265,160.772,0.580398,269.143,3.6127,40.7765,-114.047,28.21,
311.254,-0.085344,6.19935,160.704,0.573968,269.374,4.54274,38.733,-114.329,28.32,
323.839,-0.0785759,6.19651,160.649,0.567351,269.586,5.46185,36.7856,-114.465,28.43,
335.287,-0.071968,6.19399,160.606,0.562057,269.744,6.27079,35.261,-114.48,28.54,
347.876,-0.0646346,6.19103,160.563,0.560615,269.754,7.19472,34.8198,-114.376,28.65,
360.45,-0.0572974,6.18806,160.52,0.562369,269.641,7.9235,35.3707,-114.235,28.76,
373.008,-0.0499643,6.1853,160.474,0.565465,269.476,8.67777,36.2279,-114.112,28.86,
385.556,-0.0427156,6.18271,160.424,0.571232,269.214,9.37861,37.7046,-114.05,28.97,
398.101,-0.0355552,6.18039,160.365,0.57867,268.87,10.0209,39.579,-114.07,29.08,
410.657,-0.030043,6.17835,160.294,0.586084,268.515,10.5168,41.3364,-114.213,29.19,
423.234,-0.0269301,6.17666,160.212,0.591741,268.229,10.85,42.5098,-114.471,29.3,
434.698,-0.0253305,6.1754,160.122,0.596819,267.971,11.0233,43.4242,-114.82,29.41,
448.501,-0.0247953,6.17462,160.023,0.6018,267.721,11.0258,44.2218,-115.236,29.52,
461.204,-0.0259481,6.17428,159.915,0.606841,267.468,10.8053,44.9876,-115.703,29.63,
472.8,-0.0293119,6.17439,159.799,0.611894,267.212,10.341,45.7207,-116.218,29.74,
486.78,-0.033188,6.17511,159.675,0.617837,266.928,9.73796,46.5573,-116.791,29.85,
498.489,-0.035921,6.17623,159.552,0.624952,266.54,9.00373,47.8742,-117.403,29.96,
511.437,-0.0383601,6.17816,159.391,0.633607,266.136,8.1594,49.1118,-118.093,30.07,
525.654,-0.0403011,6.18044,159.228,0.641674,265.719,7.23228,50.2654,-118.861,30.18,
537.581,-0.0397747,6.18297,159.068,0.649123,265.325,6.43806,51.2396,-119.623,30.29,
550.793,-0.0359554,6.18619,158.861,0.658251,264.83,5.59077,52.3304,-120.609,30.4,
564.108,-0.0304655,6.18996,158.658,0.665706,264.397,4.83151,53.0757,-121.563,30.51,
577.53,-0.0274081,6.19309,158.465,0.670767,264.073,4.00711,53.1936,-122.577,30.62,
591.064,-0.0251137,6.19651,158.245,0.676394,263.763,3.2322,53.3007,-123.502,30.72,
