GAE/ACALTF,GAE/ACPHIR,GAE/ACPSIR,GAE/IAIRSPK,GAE/THETAR,GAE/UBODYF,GAE/VBODYF,GAE/WBODYF,GAE/Z1DOTF,JoystickX,JoystickY,zzSCENARIO/SYSTEM_TIME,
1.00282,0,0,91.819,0,154.966,0,0.0215892,0,0,0,22.38,
1.00282,0,0,92.7885,0,156.6,0,0.0219551,0,0,0,22.49,
1.00282,0,0,93.7571,0,158.233,0,0.0219378,0,0,0,22.6,
1.00282,0,0,94.7248,0,159.717,0,0.0219219,0,0,0,22.71,
1.00282,0,0,95.6916,0,161.347,0,0.0219043,0,0,0,22.82,
1.00282,0,0,96.6575,0,162.975,0,0.0218849,0,0,0,22.93,
1.00282,0,0,97.6224,0,164.602,0,0.0223053,0,0,0,23.04,
1.00282,0,0,98.5863,0,166.227,0,0.0222904,0,0,0,23.14,
1.00282,0,0,99.5493,0,167.851,0,0.0222718,0,0,0,23.25,
1.00282,0,0,100.511,0,169.473,0,0.022253,0,0,0,23.37,
1.00282,0,0,101.472,0,171.094,0,0.022234,0,0,0,23.48,
1.00282,0,0,102.433,0,172.713,0,0.0222149,0,0,0,23.58,
1.00282,0,0,103.271,0,174.126,0,0.0226074,0,0,0,23.69,
1.00282,0,0,103.697,0,174.844,0,0.0225986,0,0,0,23.8,
1.00282,0,0,104.122,0,175.562,0,0.0225898,0,0,0,23.91,
1.00282,0,0,104.509,0,176.213,0,0.0225809,0,0,0,24.02,
1.00282,0,0,104.934,0,176.929,0,0.0225721,0,0,0,24.13,
1.00282,0,0,105.396,0,177.71,0,0.0230948,0,0,0,24.24,
1.00282,0,0,105.82,0,178.424,0,0.0231494,0,0,0,24.35,
1.00282,0,0,106.205,0,179.073,0,0.0231693,0,0,0,24.46,
1.00282,0,0,106.628,0,179.786,0,0.023172,0,0,0,24.57,
1.00282,0,0,107.05,0,180.499,0,0.0231774,0,0,0,24.68,
1.00282,0,0,107.472,0,181.275,0,0.0231721,0,0,0,24.79,
1.00282,0,0,107.894,0,181.921,0,0.0236645,0,0,0,24.89,
1.00282,0,0,108.315,0,182.631,0,0.0236771,0,0,0,25,
1.00282,0,0,108.736,0,183.34,0,0.023695,0,0,0,25.12,
1.00282,0,0,109.156,0,184.049,0,0.023705,0,0,0,25.23,
1.00282,0,0,109.576,0,184.757,0,0.0236978,0,0,0,25.33,
1.00282,0,0,109.957,0,185.463,0,0.0242127,0,0,0,25.44,
1.00282,0,0,110.414,0,186.17,0,0.0242922,0,0,0,25.55,
1.00282,0,0,110.832,0,186.875,0,0.0244523,0,0,0,25.66,
1.00282,0,0,111.212,0,187.515,0,0.0246873,0,0,0,25.77,
1.00282,0,0,111.629,0,188.219,0,0.0249094,0,0,0,25.88,
1.00282,0,0,112.046,0,188.986,0,0.0251038,0,0,0,25.99,
1.00282,0,0,112.463,0,189.688,0,0.0256611,0,0,0,26.1,
1.00282,0,0,112.879,0,190.326,0,0.025782,0,0,0,26.21,
1.00282,0,0,113.294,0,191.026,0,0.025979,0,0,0,26.32,
1.00282,0,0,113.709,0,191.79,0,0.0261166,0,0,0,26.43,
1.00282,0,0,114.124,0,192.425,0,0.0264167,0,0,0,26.54,
1.00282,0,0,114.538,0,193.187,0,0.0269923,0,0,0,26.65,
1.00282,0,0,114.951,0,193.821,0,0.0270832,0,0,0,26.76,
1.00282,0,0,115.365,0,194.517,0,0.0271823,0,0,0,26.87,
1.00282,0,0,115.777,0,195.213,0,0.027214,0,0,0,26.98,
1.00282,0,0,116.189,0,195.908,0,0.0272503,0,0,0,27.08,
1.00282,0,0,116.601,0,196.602,0,0.0272585,0,0,0,27.19,
1.00282,0,0,117.012,0,197.295,0,0.0277373,0,0,0,27.31,
1.00282,0,0,117.423,0,197.988,0,0.0277456,0,0,0,27.41,
1.00282,0,0,117.833,0,198.68,0,0.027754,0,0,0,27.52,
1.00282,0,0,118.206,0,199.308,0,0.0277623,0,0,0,27.63,
1.00282,0,0,118.652,0,200.061,0,0.0277707,0,0,0,27.74,
1.00282,0,0,119.061,0,200.75,0,0.0282775,0,0,0,27.85,
1.00282,0,0,119.432,0,201.376,0,0.0282881,0,0,0,27.96,
1.00282,0,0,119.84,0,202.063,0,0.0282975,0,0,0,28.07,
1.00282,0,0,120.247,0,202.812,0,0.0283061,0,0,0,28.18,
1.00282,0,0,120.654,0,203.436,0,0.0283148,0,0,0,28.29,
1.00282,0,0,121.06,0,204.121,0,0.0283227,0,0,0,28.39,
1.00282,0,0,121.466,0,204.805,0,0.0288291,0,0,0,28.5,
1.00282,0,0,121.871,0,205.489,0,0.028838,0,0,0,28.62,
1.00282,0,0,122.276,0,206.171,0,0.0288469,0,0,0,28.73,
1.00282,0,0,122.681,0,206.853,0,0.0288557,0,0,0,28.83,
1.00282,0,0,123.084,0,207.534,0,0.0288647,0,0,0,28.94,
1.00282,0,0,123.488,0,208.214,0,0.0293239,0,0,0,29.05,
1.00282,0,0,123.891,0,208.893,0,0.0293357,0,0,0,29.16,
1.00282,0,0,124.293,0,209.572,0,0.0293448,0,0,0,29.28,
1.00282,0,0,124.658,0,210.188,0,0.0293539,0,0,0,29.38,
1.00282,0,0,125.06,0,210.926,0,0.0293631,0,0,0,29.49,
1.00282,0,0,125.497,0,211.602,0,0.0293722,0,0,0,29.6,
1.00282,0,0,125.861,0,212.215,0,0.0298768,0,0,0,29.71,
1.00282,0,0,126.261,0,212.89,0,0.029887,0,0,0,29.82,
1.00282,0,0,126.66,0,213.563,0,0.0298964,0,0,0,29.93,
1.00282,0,0,127.059,0,214.235,0,0.0299058,0,0,0,30.04,
1.00282,0,0,127.457,0,214.907,0,0.0299143,0,0,0,30.14,
