Time,Steering wheel angle,Left wheel RPM,Right wheel RPM
83,136.9952076849483,309.7453934950476,250.48000618842406
84,130.22054135611364,308.5475461582175,251.67785352525422
85,123.6078699051785,307.3508084048363,252.8745912786353
86,117.16992185813618,306.1595335940199,254.0658660894518
87,110.91887095018602,304.9781412234897,255.24725845998208
88,104.86631284300343,303.81108421351945,256.41431546995227
89,99.02324328884998,302.6628153645919,257.5625843188797
90,93.40003778582128,301.5377534589014,258.68764622457024
91,88.00643276487446,300.4402494938688,259.7851501896029
92,82.85150834555775,299.37455353950446,260.85084614396726
93,77.94367269355153,298.34478269979314,261.8806169836785
94,73.29064800925481,297.3548906311444,262.8705090523273
95,68.89945817272083,296.40863902906966,263.81676065440195
96,64.77641806625978,295.50957143923534,264.7158282442363
97,60.927124592005775,294.6609896833317,265.56441000013996
98,57.35644939769359,293.86593311693514,266.3594665665365
99,54.06853331981973,293.12716085934056,267.09823882413104
100,51.06678254928136,292.44713705809914,267.7782626253725
101,48.35386652050452,291.8280191775718,268.39738050589983
102,45.9317175210038,291.2716492347628,268.95375044870883
103,43.80153201426209,290.7795478500508,269.4458518334209
104,41.963773664796484,290.35291093742484,269.8724887460469
105,40.41817805029487,289.99260882979064,270.23279085368097
106,39.163759041769104,289.69918762016914,270.5262120633025
107,38.1988168287968,289.47287249851877,270.75252718495295
108,37.52094756310998,289.3135728749202,270.91182680855144
109,37.12705459005598,289.2208891006684,271.0045105828032
110,37.01336123380613,289.19412062657756,271.0312790568942
111,37.17542509863029,289.23227546938955,270.9931242140821
112,37.608153845100716,289.33408088937296,270.89131879409865
113,38.305822396745974,289.4979952120247,270.727404471447
114,39.26209152944417,289.72222075163756,270.50317893183416
115,40.4700277927468,290.00471781235854,270.22068187111313
116,41.922124709352346,290.34321975190613,269.88217993156553
117,43.61032519611725,290.735249093766,269.49015058970565
118,45.52604514731048,291.1781346656038,269.04726501786786
119,47.66019811827962,291.6690297256597,268.55636995781197
120,50.003221045324096,292.20493101644325,268.02046866702847
121,52.54510093535689,292.7826986579564,267.4427010255153
122,55.275402456890305,293.39907676305165,266.82632292042007
123,58.18329636200888,294.0507146275577,266.1746850559141
124,61.25758866729594,294.7341883196067,265.491211363865
125,64.48675052016176,295.44602246806704,264.77937721540457
126,67.85894867569016,296.18271203069224,264.0426876527794
127,71.36207650796996,296.9407438097029,263.28465587376877
128,74.98378547892042,297.716617476723,262.50878220674866
129,78.71151698684766,298.5068658705455,261.7185338129262
130,82.53253451639151,299.30807433992453,260.9173253435472
131,86.43395601113748,300.1168989189319,260.1085007645397
132,90.40278638997042,300.9300831435094,259.29531653996224
133,94.42595012825095,301.7444733436408,258.48092633983083
134,98.49032382507968,302.5570322748468,257.6683674086249
135,102.58276867830092,303.36485098423685,256.8605486992348
136,106.69016278946495,304.1651588389181,256.06024084455356
137,110.79943322172687,304.95533167704144,255.27006800643022
138,114.89758773460406,305.73289807316945,254.49250161030224
139,118.97174612063712,306.49554373916624,253.72985594430546
140,123.0091710703054,307.24111410878976,252.98428557468188
141,126.99729849302582,307.967615178167,252.25778450530464
142,130.92376722371438,308.6732126950682,251.5521869884035
143,134.77644804620536,309.35622980724895,250.86916987622263
144,138.5434719668016,310.0151432941124,250.21025638935927
145,142.21325767336262,310.64857851667955,249.5768211667921
146,145.77453811762123,311.25530322855906,248.97009645491258
147,149.2163861608481,311.83422039552755,248.3911792879441
148,152.52823922554933,312.3843601737804,247.84103950969134
149,155.69992289857908,312.9048711971982,247.3205284862735
150,158.72167343387127,313.39501132239945,246.83038836107224
