"E","tau","tp","nn","lib_column","target_column","lib_size","num_pred","rho","mae","rmse","direction"
10,1,3,11,"Steering.wheel.angle","Right.wheel.RPM",988,988,0.99914571199725,0.40223281026945,1.12349918592911,"Steering.wheel.angle xmap Right.wheel.RPM"
10,1,3,11,"Left.wheel.RPM","Right.wheel.RPM",988,988,0.999158746532161,0.409761208031381,1.11497812010289,"Left.wheel.RPM xmap Right.wheel.RPM"
10,1,4,11,"Left.wheel.RPM","Steering.wheel.angle",987,987,0.999177804284403,2.46757582518716,6.13970053886531,"Left.wheel.RPM xmap Steering.wheel.angle"
10,1,4,11,"Right.wheel.RPM","Steering.wheel.angle",987,987,0.999177804284403,2.46757582518717,6.13970053886531,"Right.wheel.RPM xmap Steering.wheel.angle"
10,1,4,11,"Steering.wheel.angle","Left.wheel.RPM",987,987,0.998852481561855,0.475409577267,1.30200331160247,"Steering.wheel.angle xmap Left.wheel.RPM"
10,1,4,11,"Right.wheel.RPM","Left.wheel.RPM",987,987,0.998866747015217,0.483464752293369,1.29375420948627,"Right.wheel.RPM xmap Left.wheel.RPM"
10,1,4,11,"Steering.wheel.angle","Right.wheel.RPM",987,987,0.998852481561855,0.475409577267001,1.30200331160248,"Steering.wheel.angle xmap Right.wheel.RPM"
10,1,4,11,"Left.wheel.RPM","Right.wheel.RPM",987,987,0.998866747015217,0.48346475229336,1.29375420948627,"Left.wheel.RPM xmap Right.wheel.RPM"
10,1,5,11,"Left.wheel.RPM","Steering.wheel.angle",986,986,0.99892069415627,2.85620555342718,7.03379032647746,"Left.wheel.RPM xmap Steering.wheel.angle"
10,1,5,11,"Right.wheel.RPM","Steering.wheel.angle",986,986,0.99892069415627,2.85620555342719,7.03379032647747,"Right.wheel.RPM xmap Steering.wheel.angle"
10,1,5,11,"Steering.wheel.angle","Left.wheel.RPM",986,986,0.998502836245406,0.554064361008215,1.4870947875064,"Steering.wheel.angle xmap Left.wheel.RPM"
10,1,5,11,"Right.wheel.RPM","Left.wheel.RPM",986,986,0.998517938606552,0.562654935321857,1.47923614566028,"Right.wheel.RPM xmap Left.wheel.RPM"
10,1,5,11,"Steering.wheel.angle","Right.wheel.RPM",986,986,0.998502836245406,0.554064361008223,1.48709478750641,"Steering.wheel.angle xmap Right.wheel.RPM"
10,1,5,11,"Left.wheel.RPM","Right.wheel.RPM",986,986,0.998517938606552,0.562654935321848,1.47923614566027,"Left.wheel.RPM xmap Right.wheel.RPM"
10,1,6,11,"Left.wheel.RPM","Steering.wheel.angle",985,985,0.998613862676091,3.27314339621785,7.97191236948449,"Left.wheel.RPM xmap Steering.wheel.angle"
10,1,6,11,"Right.wheel.RPM","Steering.wheel.angle",985,985,0.998613862676091,3.27314339621786,7.97191236948449,"Right.wheel.RPM xmap Steering.wheel.angle"
10,1,6,11,"Steering.wheel.angle","Left.wheel.RPM",985,985,0.99809183508721,0.637854502452703,1.67875834880382,"Steering.wheel.angle xmap Left.wheel.RPM"
10,1,6,11,"Right.wheel.RPM","Left.wheel.RPM",985,985,0.998107812987745,0.647097199182535,1.67117039900702,"Right.wheel.RPM xmap Left.wheel.RPM"
10,1,6,11,"Steering.wheel.angle","Right.wheel.RPM",985,985,0.998091835087209,0.637854502452707,1.67875834880382,"Steering.wheel.angle xmap Right.wheel.RPM"
10,1,6,11,"Left.wheel.RPM","Right.wheel.RPM",985,985,0.998107812987745,0.647097199182528,1.67117039900702,"Left.wheel.RPM xmap Right.wheel.RPM"
10,1,7,11,"Left.wheel.RPM","Steering.wheel.angle",984,984,0.998252221002579,3.71891085276838,8.95349478204557,"Left.wheel.RPM xmap Steering.wheel.angle"
10,1,7,11,"Right.wheel.RPM","Steering.wheel.angle",984,984,0.998252221002579,3.71891085276839,8.95349478204557,"Right.wheel.RPM xmap Steering.wheel.angle"
10,1,7,11,"Steering.wheel.angle","Left.wheel.RPM",984,984,0.997616120454912,0.726965458418941,1.87627118180465,"Steering.wheel.angle xmap Left.wheel.RPM"
10,1,7,11,"Right.wheel.RPM","Left.wheel.RPM",984,984,0.99763264679721,0.736701713915656,1.86901170677665,"Right.wheel.RPM xmap Left.wheel.RPM"
10,1,7,11,"Steering.wheel.angle","Right.wheel.RPM",984,984,0.997616120454912,0.726965458418947,1.87627118180465,"Steering.wheel.angle xmap Right.wheel.RPM"
10,1,7,11,"Left.wheel.RPM","Right.wheel.RPM",984,984,0.99763264679721,0.736701713915651,1.86901170677665,"Left.wheel.RPM xmap Right.wheel.RPM"
10,1,8,11,"Left.wheel.RPM","Steering.wheel.angle",983,983,0.997829252004722,4.19329917688848,9.9807795598964,"Left.wheel.RPM xmap Steering.wheel.angle"
10,1,8,11,"Right.wheel.RPM","Steering.wheel.angle",983,983,0.997829252004722,4.19329917688849,9.9807795598964,"Right.wheel.RPM xmap Steering.wheel.angle"
10,1,8,11,"Steering.wheel.angle","Left.wheel.RPM",983,983,0.997072951282848,0.82056658390631,2.07888734880591,"Steering.wheel.angle xmap Left.wheel.RPM"
10,1,8,11,"Right.wheel.RPM","Left.wheel.RPM",983,983,0.997087487447263,0.831394456012458,2.07279062433775,"Right.wheel.RPM xmap Left.wheel.RPM"
10,1,8,11,"Steering.wheel.angle","Right.wheel.RPM",983,983,0.997072951282848,0.820566583906318,2.07888734880591,"Steering.wheel.angle xmap Right.wheel.RPM"
10,1,8,11,"Left.wheel.RPM","Right.wheel.RPM",983,983,0.997087487447263,0.831394456012454,2.07279062433775,"Left.wheel.RPM xmap Right.wheel.RPM"
10,1,9,11,"Left.wheel.RPM","Steering.wheel.angle",982,982,0.997339690751964,4.69421093080747,11.051861490163,"Left.wheel.RPM xmap Steering.wheel.angle"
10,1,9,11,"Right.wheel.RPM","Steering.wheel.angle",982,982,0.997339690751964,4.69421093080748,11.051861490163,"Right.wheel.RPM xmap Steering.wheel.angle"
10,1,9,11,"Steering.wheel.angle","Left.wheel.RPM",982,982,0.996456549760596,0.918984053749608,2.28706351746653,"Steering.wheel.angle xmap Left.wheel.RPM"
10,1,9,11,"Right.wheel.RPM","Left.wheel.RPM",982,982,0.996469649059467,0.930458815076512,2.28172573965499,"Right.wheel.RPM xmap Left.wheel.RPM"
10,1,9,11,"Steering.wheel.angle","Right.wheel.RPM",982,982,0.996456549760596,0.918984053749615,2.28706351746653,"Steering.wheel.angle xmap Right.wheel.RPM"
10,1,9,11,"Left.wheel.RPM","Right.wheel.RPM",982,982,0.996469649059467,0.930458815076507,2.28172573965499,"Left.wheel.RPM xmap Right.wheel.RPM"
10,1,10,11,"Left.wheel.RPM","Steering.wheel.angle",981,981,0.996777533758256,5.22343635270782,12.1662235292556,"Left.wheel.RPM xmap Steering.wheel.angle"
10,1,10,11,"Right.wheel.RPM","Steering.wheel.angle",981,981,0.996777533758256,5.22343635270784,12.1662235292556,"Right.wheel.RPM xmap Steering.wheel.angle"
10,1,10,11,"Steering.wheel.angle","Left.wheel.RPM",981,981,0.995764750479373,1.02176239439523,2.49996898677303,"Steering.wheel.angle xmap Left.wheel.RPM"
10,1,10,11,"Right.wheel.RPM","Left.wheel.RPM",981,981,0.995776039282074,1.03425215630629,2.49536178422963,"Right.wheel.RPM xmap Left.wheel.RPM"
10,1,10,11,"Steering.wheel.angle","Right.wheel.RPM",981,981,0.995764750479373,1.02176239439524,2.49996898677304,"Steering.wheel.angle xmap Right.wheel.RPM"
10,1,10,11,"Left.wheel.RPM","Right.wheel.RPM",981,981,0.995776039282074,1.03425215630629,2.49536178422963,"Left.wheel.RPM xmap Right.wheel.RPM"
